block,received_at_unix_ms,wire_bytes,decode_us,ingest_us,cells_in_block,delta_cells_total,fetch_wire_us,blocks_in_fetch
25893198,1788396518102,3811,32,60,1273,1273,2639,1
25893200,1788396518644,23860,106,484,7888,8902,2772,2
25893201,1788396519855,12250,60,283,4054,12362,2560,1
25893202,1788396520532,20519,89,454,6873,18316,2707,1
25893203,1788396521080,14057,70,369,4719,21437,2594,1
25893204,1788396522307,13058,66,351,4380,24363,2503,1
25893207,1788396523518,19698,95,534,6667,29009,2674,3
25893209,1788396524743,13310,70,375,4502,31665,2530,2
25893211,1788396525972,17856,88,496,5986,35288,2706,2
25893213,1788396527174,18297,85,517,6110,39525,2597,2
25893215,1788396528381,17101,85,478,5735,42915,2558,2
25893228,1788396540397,87586,613,2298,29911,64339,8290,13
25893237,1788396900536,65169,305,1763,22157,78731,9173,9
25893260,1788396912560,146830,918,3876,50422,113516,14680,23
25893263,1788397284674,31846,150,1058,10819,119561,4799,3
25893292,1788397296699,163381,1015,4371,56350,155888,15573,29
25893315,1788397680834,125921,540,3650,43217,181172,12787,23
25893324,1788397692846,58011,255,1812,19709,191435,6651,9
25893339,1788398052982,84693,496,2726,28950,206338,10570,15
25893356,1788398065014,117722,639,3579,40138,227237,13419,17
25893361,1788398437143,35464,169,1304,12107,233510,4577,5
25893388,1788398449167,157387,939,4588,54108,260556,14913,27
25893398,1788398821293,68718,318,2313,23345,271388,8006,10
25893420,1788398833312,117238,649,3743,40176,292049,10342,22
25893422,1788399205441,27092,136,1095,9192,296662,5441,2
25893452,1788399217470,170363,964,5272,58618,330101,18319,30
25893464,1788399589615,74294,352,2492,25377,341616,10231,12
25893484,1788399601638,125671,701,4048,43203,362125,13852,20
25893488,1788399973774,32289,160,1281,10894,365982,5006,4
25893514,1788399985797,153000,807,5079,52653,396814,12226,26
25893516,1788399997806,16713,84,722,5626,398961,4634,2
25893541,1788400369952,147299,811,4924,50713,425734,12256,25
25893548,1788400381966,52047,237,1965,17675,433599,7595,7
25893549,1788400742091,2485,26,165,816,433710,2112,1
25893564,1788400754106,95604,450,3423,32674,448811,7679,15
25893568,1788400766116,30552,143,1255,10327,452356,4120,4
25893580,1788400778129,72482,400,2710,24697,463578,6523,12
25893591,1788401126261,75749,430,2871,25825,475248,7999,11
25893612,1788401138282,114878,663,4079,39430,494763,10999,21
25893642,1788401522429,162036,986,5629,56048,526347,12296,30
25893644,1788401534439,14591,74,694,4896,527882,4297,2
25893645,1788401892701,6163,48,356,2052,528572,2415,1
25893646,1788401893911,5819,45,326,1937,528934,2357,1
25893647,1788401894592,14697,83,696,4924,530891,2827,1
25893650,1788401895137,21354,116,971,7209,532329,2797,3
25893652,1788401896355,16930,97,787,5710,534539,2663,2
25893653,1788401897022,2619,30,170,870,534796,2374,1
25893654,1788401898233,11879,73,578,3988,535899,2696,1
25893655,1788401898787,18298,97,819,6187,539320,2697,1
25893657,1788401900000,19026,108,892,6431,541424,2689,2
25893659,1788401901216,13417,86,664,4541,542977,2583,2
25893660,1788401902430,7328,56,393,2454,543716,2436,1
25893661,1788401903100,16001,90,727,5375,547038,2713,1
25893662,1788401903650,7265,69,395,2452,547887,2377,1
25893664,1788401904876,18091,106,849,6111,549303,2728,2
25893665,1788401906097,7555,61,407,2543,550311,2362,1
25893667,1788401908515,16835,101,791,5667,551439,2609,2
25893669,1788401909737,16899,104,794,5672,552942,2689,2
25893671,1788401910948,20302,124,935,6891,556289,2758,2
25893673,1788401912170,17117,104,819,5760,557798,2736,2
25893674,1788401913384,7453,63,418,2503,558390,2427,1
25893676,1788401914596,14942,92,718,5037,559855,2642,2
25893692,1788402289235,92222,440,3519,31600,575979,8661,16
25893700,1788402301248,43026,216,1722,14622,581139,7127,8
25893708,1788402313261,49185,226,2039,16723,588167,6262,8
25893712,1788402661372,35942,188,1575,12208,594320,3970,4
25893724,1788402673386,84119,567,3295,28794,606298,7598,12
25893735,1788402685400,63993,283,2561,21791,615338,7077,11
25893740,1788402697409,26785,131,1173,9042,618773,4228,5
25893745,1788403045525,34704,193,1530,11740,623904,4115,5
25893766,1788403057545,130236,907,4877,44186,647526,10927,21
25893772,1788403069555,35678,164,1553,12081,652667,4628,6
25893779,1788403429676,54409,271,2255,18101,660733,6032,7
25893804,1788403441707,287509,1920,9903,94310,721951,15259,25
25893810,1788403813841,57365,281,2463,18588,730814,6931,6
25893830,1788403825864,190213,790,6390,62875,745971,12099,20
25893836,1788403837878,62468,293,2601,20900,752741,7015,6
25893843,1788404198008,77689,375,3105,25651,759742,8153,7
25893850,1788404210023,67255,308,2739,22089,764140,7853,7
25893868,1788404222048,183541,1164,6524,60723,785642,12930,18
25893872,1788404582186,60866,297,2640,19666,792985,7780,4
25893890,1788404594210,180492,974,6366,59442,808667,13155,18
25893900,1788404606230,108988,480,4134,35996,816971,10909,10
25893908,1788404966366,88259,417,3499,29134,824302,8594,8
25893932,1788404978395,211046,1268,7306,70622,845307,16221,24
25893963,1788405362553,269557,1581,9000,90283,876527,17234,31
25893964,1788405374561,12187,68,708,3958,877166,2451,1
25893972,1788405734691,86401,410,3433,28461,883097,7986,8
25893996,1788405746720,211935,1000,7292,70821,903135,16202,24
25893998,1788406118850,16679,128,902,5393,903837,4156,2
25894028,1788406130879,232531,1209,8067,77848,929354,15497,30
25894034,1788406515012,57054,292,2481,18742,934730,7522,6
25894040,1788406527027,79859,366,3294,26230,940597,7732,6
25894046,1788406539042,66988,300,2812,22450,947249,7561,6
