block,received_at_unix_ms,wire_bytes,decode_us,ingest_us,cells_in_block,delta_cells_total,fetch_wire_us,blocks_in_fetch
25892721,1788390754772,19784,319,1405,6679,6679,287626,2
25892723,1788390756907,10776,241,1236,3619,9575,234929,2
25892730,1788390758109,56337,1117,4803,19133,26418,239326,7
25892732,1788390760105,13901,242,1657,4698,29372,235460,2
25892738,1788390761249,59423,1061,5159,19814,45545,269685,6
25892740,1788390763279,16126,142,1098,5440,48669,236772,2
25892746,1788390764456,39550,664,3807,13380,57362,240057,6
25892748,1788390766569,18982,362,2175,6411,60993,269533,2
25892751,1788390767673,32075,606,3773,10433,66640,237473,3
25892783,1788391153482,216453,3863,16768,73866,119673,1436060,32
25892786,1788391522084,27662,461,3975,9415,125609,488188,3
25892815,1788391535549,172564,2783,13757,59227,164802,1140895,29
25892839,1788391916863,166437,2783,13193,56414,194967,946749,24
25892847,1788391929887,72196,1297,6742,24307,205498,718692,8
25892878,1788392299297,206840,3535,16770,70285,241090,1008320,31
25892879,1788392311789,12456,229,2332,4199,242505,233952,1
25892900,1788392681041,149540,2525,11875,50517,266224,1053956,21
25892911,1788392693998,89659,1523,8563,30287,281290,707334,11
25892923,1788393063599,92146,1690,8887,31221,295469,870288,12
25892943,1788393077046,165867,1465,12825,56278,319922,1194614,20
25892945,1788393447188,28904,505,4078,9794,324403,518121,2
25892974,1788393460800,210776,3160,16714,71947,359299,1353353,29
25893005,1788393842960,208564,3327,16891,70802,392709,1090266,31
25893069,1788394824198,344917,6374,32000,118561,461828,1612690,64
25893076,1788394986592,65885,950,8206,22131,471131,3013311,7
25893101,1788395001019,166330,2138,12559,56511,497102,2172455,25
25893124,1788395370551,140127,1767,12058,47862,520769,1538114,23
25893133,1788395383896,76058,971,8260,25694,532972,1093882,9
25893148,1788395753224,100947,1046,8979,34526,549480,1049821,15
25893165,1788395766523,106601,973,8822,36514,566521,1048253,17
