batch,trial,started_at_unix_ms,absent_probe,t_total_us,build_us,head_wire_us,sync_wire_us,answer_wire_us,setup_wire_us,finish_us,residual_us,rewind_us,decode_us,delta_apply_us,scan_us,server_compute_ns,server_handler_ns,query_bytes,response_bytes,response_content_length,setup_bytes,at_block,pinned_block,stale_blocks,delta_cells,found,provider_match,provider_hex_match,provider_error,provider_rtt_us,client_rss_bytes,attempts,error
0,0,1788390528434,1,3051279,83074,231983,0,2709949,0,25511,762,1,25494,1,6,614589866,614867936,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,370757,1954643968,1,
0,1,1788390532369,0,2480148,78087,244946,0,2142986,0,13722,407,0,13708,1,5,611208426,611456246,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98729,,1,
0,2,1788390535451,0,2299747,81725,233568,0,1964941,0,18865,648,0,18850,1,5,610814174,611066124,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96669,,1,
0,3,1788390538349,0,2015135,82812,276154,0,1637611,0,17925,633,1,17910,1,5,611343306,611609696,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,98699,,1,
0,4,1788390540968,0,1966304,78605,233154,0,1635445,0,18474,626,1,18461,1,4,611570456,611811016,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97970,,1,
0,5,1788390543534,0,2014993,85237,232822,0,1677430,0,19128,376,1,19115,1,4,611147095,611383105,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97272,,1,
0,6,1788390546148,0,2083538,80842,236834,0,1748867,0,16570,425,1,16555,1,5,610709956,610970376,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97697,,1,
0,7,1788390548832,0,2090552,75879,233190,0,1761716,0,19157,610,1,19145,1,3,610307491,610598911,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,97382,,1,
0,8,1788390551521,0,2133208,79195,234041,0,1800981,0,18352,639,1,18339,1,4,610262217,610507127,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,97181,,1,
0,9,1788390554254,0,1975588,81151,233812,0,1639688,0,20327,610,1,20312,1,5,610667356,610914026,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99125,,1,
0,10,1788390556830,0,2080580,81404,233837,0,1745129,0,19501,709,1,19487,1,4,610140956,610422706,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97624,1413840896,1,
0,11,1788390559517,0,2062605,80411,233428,0,1729394,0,18729,643,1,18709,1,6,610506957,610771717,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,98284,,1,
0,12,1788390562182,0,2125769,83806,299034,0,1723515,0,18980,434,1,18966,1,5,609444776,609692406,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97767,,1,
0,13,1788390564908,0,2099939,81447,236708,0,1762926,0,18419,439,1,18405,1,5,610870266,611127586,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97138,,1,
0,14,1788390567609,0,2617282,89587,233361,0,2275358,0,18311,665,1,18300,1,2,615519966,615840986,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,96784,,1,
0,15,1788390570826,1,2900047,82409,236327,0,2560030,0,20664,617,1,20650,1,4,610277837,610524597,435083,434387,434387,0,25892719,25892719,0,0,0,1,1,,98413,,1,
0,16,1788390574328,0,2674636,79966,234132,0,2348758,0,11477,303,0,11467,1,4,609380276,609652366,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97838,,1,
0,17,1788390577603,0,2514949,81713,238385,0,2174985,0,19188,678,1,19172,1,6,609675676,609915536,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99195,,1,
0,18,1788390580720,0,2640313,82680,296048,0,2242269,0,18887,429,1,18874,1,4,610467431,610719011,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,97425,,1,
0,19,1788390583961,0,2541629,80710,236964,0,2203869,0,19448,638,1,19432,1,5,611173206,611449396,435083,434387,434387,0,25892719,25892719,0,0,1,1,1,,99766,,1,
