block,applied_at_unix_ms,changes,credits,inserts,updates,deletes,noop_deletes,touched_cells,store_ms,fold_ms,patch_ms,apply_ms,lock_wait_ms,delta_bytes,answers_since_prev_block,answer_compute_ms_since_prev_block,feed_fetch_ms,finalized_block
25892624,1788389694060,447,16,104,357,2,0,5317,1.132,0.301,5.596,7.124,0.000,15677,,,282.346,25892655
25892625,1788389694926,276,16,17,265,10,0,2614,0.758,0.158,2.541,3.488,0.001,7808,0,0.000,441.929,25892655
25892626,1788389695635,282,16,14,278,6,0,2547,0.813,0.161,2.475,3.481,0.001,7611,0,0.000,654.896,25892655
25892627,1788389696277,284,16,20,276,4,0,2803,0.887,0.172,2.563,3.664,0.000,8285,0,0.000,362.993,25892655
25892628,1788389696894,706,16,16,701,5,0,4818,1.658,0.341,5.986,8.046,0.001,15594,0,0.000,309.438,25892655
25892629,1788389697501,310,16,42,277,7,0,3326,0.798,0.198,3.286,4.315,0.001,9898,0,0.000,347.442,25892655
25892630,1788389698118,273,16,11,275,3,0,2462,0.696,0.158,2.404,3.288,0.001,7328,0,0.000,289.247,25892655
25892631,1788389698830,632,16,49,592,7,0,5015,1.724,0.347,5.469,7.613,0.001,15569,0,0.000,287.744,25892655
25892632,1788389699356,421,16,30,402,5,0,3770,1.023,0.240,3.889,5.204,0.001,11148,0,0.000,258.208,25892655
25892633,1788389700125,300,16,20,290,6,0,2678,1.017,0.171,2.930,4.144,0.001,7999,0,0.000,323.928,25892655
25892634,1788389700621,530,16,90,449,7,0,5436,1.260,0.326,4.814,6.472,0.001,16133,0,0.000,302.888,25892655
25892635,1788389701121,748,16,22,738,4,0,5203,1.898,0.365,5.651,7.979,0.000,16694,0,0.000,286.431,25892655
25892636,1788389701482,94,16,7,100,3,0,925,0.282,0.076,3.450,3.823,0.001,2762,0,0.000,135.733,25892655
25892637,1788389701962,297,16,36,275,2,0,3043,0.753,0.185,2.830,3.807,0.001,9047,0,0.000,350.352,25892655
25892638,1788389702582,390,16,15,382,9,0,3172,1.146,0.211,3.329,4.733,0.000,9534,0,0.000,259.198,25892655
25892639,1788389703422,995,16,62,945,4,0,7992,2.366,0.528,8.204,11.268,0.001,24878,0,0.000,372.637,25892655
25892640,1788389704066,382,16,18,373,7,0,3135,1.050,0.220,3.290,4.603,0.001,9437,0,0.000,297.532,25892655
25892641,1788389704943,249,16,23,237,5,0,2748,0.647,0.171,2.659,3.522,0.000,8138,0,0.000,300.732,25892655
25892642,1788389705353,672,16,21,656,11,0,5242,1.593,0.346,6.556,8.566,0.001,16056,0,0.000,342.722,25892655
25892643,1788389706086,177,16,11,177,5,0,1745,0.474,0.113,1.806,2.418,0.001,5177,0,0.000,397.061,25892655
25892644,1788389706678,628,16,92,548,4,0,6107,1.513,0.368,5.675,7.650,0.001,18181,0,0.000,288.373,25892655
25892645,1788389707280,292,16,21,277,10,0,2556,0.795,0.180,2.705,3.711,0.001,7647,0,0.000,184.618,25892655
25892646,1788389707969,755,16,25,733,13,0,5754,1.747,0.378,6.137,8.375,0.001,17892,0,0.000,366.893,25892655
25892647,1788389708427,256,16,21,248,3,0,2456,0.716,0.158,2.328,3.245,0.000,7287,0,0.000,259.038,25892655
25892648,1788389708944,231,16,25,219,3,0,2401,0.628,0.154,2.568,3.384,0.001,7131,0,0.000,279.420,25892655
25892649,1788389709700,385,16,29,364,8,0,3409,1.008,0.226,3.536,4.804,0.001,10131,0,0.000,324.190,25892655
25892650,1788389710370,730,16,11,725,10,0,5012,1.744,0.352,5.676,7.847,0.001,16177,0,0.000,295.686,25892655
25892651,1788389711118,391,16,21,382,4,0,3260,1.051,0.212,3.489,4.791,0.001,9754,0,0.000,329.250,25892655
25892652,1788389711790,286,16,16,280,6,0,2823,0.745,0.177,2.858,3.833,0.001,8437,0,0.000,286.497,25892655
25892653,1788389712424,258,16,16,243,15,0,2458,0.753,0.160,2.462,3.403,0.001,7370,0,0.000,292.530,25892655
25892654,1788389713171,615,16,95,529,7,0,6077,1.551,0.370,5.701,7.720,0.001,18168,0,0.000,312.410,25892655
25892655,1788389714110,542,16,13,534,11,0,3932,1.300,0.279,4.357,6.017,0.001,12383,0,0.000,299.609,25892655
25892656,1788389986517,123,16,13,122,4,0,1264,0.398,0.086,1.268,1.760,0.001,3742,20,12214.088,120.854,25892687
25892657,1788389986819,171,16,8,178,1,0,1566,0.474,0.105,1.619,2.207,0.001,4664,0,0.000,296.417,25892687
25892658,1788389987192,582,16,43,548,7,0,5220,1.543,0.335,4.862,6.797,0.001,15505,0,0.000,363.654,25892687
25892659,1788389987462,400,16,29,378,9,0,3596,0.961,0.220,3.324,4.541,0.001,10712,0,0.000,262.863,25892687
25892660,1788389987754,705,16,22,688,11,0,4903,1.720,0.350,5.277,7.398,0.001,15809,0,0.000,281.629,25892687
25892661,1788389988072,329,16,26,308,11,0,3128,0.884,0.194,2.863,3.972,0.001,9327,0,0.000,311.518,25892687
25892662,1788389988417,285,16,13,278,10,0,2640,0.704,0.164,2.540,3.443,0.001,7866,0,0.000,339.738,25892687
25892663,1788389988998,350,16,11,341,14,0,2828,0.865,0.185,2.958,4.036,0.001,8386,0,0.000,574.282,25892687
25892664,1788389989290,550,16,83,472,11,0,5364,1.363,0.316,4.803,6.532,0.001,15826,0,0.000,282.778,25892687
25892665,1788389989586,308,16,29,281,14,0,2889,0.809,0.197,2.734,3.767,0.001,8600,0,0.000,289.506,25892687
25892666,1788389989899,333,16,14,320,15,0,3053,0.904,0.189,3.124,4.246,0.001,9048,0,0.000,306.951,25892687
25892667,1788389990166,289,16,31,265,9,0,2989,0.839,0.184,2.608,3.660,0.000,8804,0,0.000,260.266,25892687
25892668,1788389990418,210,16,16,200,10,0,2185,0.661,0.145,2.024,2.845,0.001,6502,0,0.000,246.487,25892687
25892669,1788389990678,250,16,19,243,4,0,2331,0.683,0.148,2.139,2.987,0.001,6977,0,0.000,254.776,25892687
25892670,1788389990897,225,16,11,223,7,0,2056,0.624,0.135,2.170,2.949,0.001,6141,0,0.000,213.473,25892687
25892671,1788389991366,341,16,35,314,8,0,3399,0.936,0.204,3.085,4.251,0.000,10138,0,0.000,340.963,25892687
25892672,1788389991660,263,16,21,252,6,0,2515,0.670,0.161,2.451,3.302,0.001,7498,0,0.000,288.317,25892687
25892673,1788389992227,250,16,29,230,7,0,2519,0.706,0.160,2.299,3.183,0.001,7453,0,0.000,561.287,25892687
25892674,1788389992433,411,16,88,331,8,0,4625,0.967,0.252,3.564,4.832,0.001,13729,0,0.000,198.842,25892687
25892675,1788389992646,238,16,11,238,5,0,2188,0.607,0.141,2.187,2.952,0.001,6540,0,0.000,207.692,25892687
25892676,1788389992977,894,16,25,872,13,0,6567,2.280,0.435,6.768,9.550,0.001,20739,0,0.000,319.114,25892687
25892677,1788389993317,223,16,9,226,4,0,2003,0.603,0.133,2.029,2.780,0.001,5980,0,0.000,334.144,25892687
25892678,1788389993598,212,16,21,203,4,0,2075,0.573,0.134,1.995,2.714,0.001,6184,0,0.000,276.059,25892687
25892679,1788389993945,498,16,24,480,10,0,4085,1.200,0.272,4.074,5.601,0.001,12397,0,0.000,338.529,25892687
25892680,1788389994230,187,16,10,184,8,1,1797,0.509,0.119,1.795,2.434,0.001,5397,0,0.000,279.230,25892687
25892681,1788389994563,486,16,18,482,2,0,3824,1.264,0.255,4.048,5.595,0.001,11334,0,0.000,325.815,25892687
25892682,1788389994892,329,16,20,323,2,0,2873,0.924,0.179,2.922,4.044,0.001,8481,0,0.000,321.908,25892687
25892683,1788389995265,869,16,19,860,6,0,6084,2.165,0.422,6.516,9.181,0.001,19277,0,0.000,361.819,25892687
25892684,1788389995612,505,16,91,421,9,0,5465,1.168,0.319,4.508,6.032,0.001,16236,0,0.000,337.226,25892687
25892685,1788389995890,236,16,28,219,5,0,2426,0.616,0.159,2.222,3.009,0.001,7211,0,0.000,272.259,25892687
25892686,1788389996202,531,16,21,515,11,0,4616,1.343,0.297,4.404,6.106,0.001,13692,0,0.000,303.771,25892687
